movieId,genres
1,Documentary|Animation|Family
3,Crime|Drama|Mystery
4,Family
5,Documentary|Sport
6,Documentary
7,Action|Sci-Fi
8,Documentary|Comedy|Drama|Fantasy|Mystery|Sci-Fi
9,Comedy|Horror|Sci-Fi
12,Comedy|Crime|Film-Noir|Mystery|Romance|Thriller
15,Documentary|Music
17,Action|Comedy|Crime|Thriller
18,Biography|Drama|Music|Romance
19,Comedy|Drama
20,Comedy|Drama|Family|Musical|Romance
21,Drama
22,Comedy|Romance
24,Horror|Mystery|Thriller
26,Action|Crime|Drama|Thriller
28,Talk-Show
29,Drama
30,Comedy|Drama|Romance
31,Documentary|Music
33,Animation|Comedy
37,Action|Drama
38,Romance
42,Drama
44,Drama
45,Comedy|Drama|Romance
46,Animation|Adventure|Comedy|Family|Fantasy|Musical
47,Drama|Romance
48,Animation|Action|Adventure|Drama|Family|Fantasy|Mystery|Thriller
50,Action|Adventure|Drama|Romance|War
52,Documentary|History|War
53,Horror|Thriller
54,Comedy|Romance
55,Crime|Drama|Thriller
57,Drama|Sci-Fi|War
58,Action|Adventure|Fantasy
61,Documentary|Music
63,Action|Adventure|Drama|Romance|Thriller|War
64,Short|Drama
65,Comedy|Drama
67,Fantasy|Horror
68,Animation|Action|Adventure|Comedy|Drama|Family|Horror|Sci-Fi
69,Action|Sport
72,Action|Adventure|Drama|War|Western
74,Comedy|Crime|Thriller
75,Drama|Romance
77,Action|Adventure|Mystery|Sci-Fi
78,Comedy|Family
79,Crime|Drama|Film-Noir|Thriller
80,Comedy|Drama|Mystery|Thriller
82,Adventure|Drama|War
83,Biography|Drama|History|Thriller
84,Animation|Action|Adventure|Comedy|Family|Sci-Fi
86,Action
88,Adventure|Animation|Fantasy
89,Action|Adventure|Thriller
90,Comedy|Crime|Music|Romance
91,Action
93,Drama|Fantasy
95,Comedy|Drama|Romance
96,Documentary
99,Comedy|Drama
102,Drama
104,Action|Adventure|Comedy|Family|Romance|Sport|Western
105,Drama|Mystery|Thriller
106,Documentary|Music
108,Action|Crime|Drama|Mystery|Thriller
110,Drama|History
112,Documentary|War
113,Documentary|Action|Biography
115,Mystery
116,Comedy|Drama
117,Comedy|Musical|Romance
118,Action|Adventure|Thriller
119,Documentary
122,Drama|Mystery|Sci-Fi|Thriller
123,Comedy|Crime
124,Crime|Drama|Thriller
125,Action|Crime|Thriller
127,Action|Comedy|Crime|Drama|Thriller
128,Action|Comedy|Fantasy|Horror
129,Horror
130,Drama
134,Drama|Horror
135,Drama|Comedy|Action|Adventure
136,Comedy|Horror|Mystery
137,Action|Crime|Drama|Thriller
140,Adventure|Drama
143,Action|Drama|Mystery|Thriller
145,Comedy|Drama|Romance
148,Drama|Romance
150,Action|Crime
151,Horror
152,Drama|Family|Fantasy
155,Comedy|Family|Sci-Fi
156,Comedy|Drama|Romance
158,Thriller|Drama
159,Comedy|Crime|Drama|Mystery
160,Adventure|Comedy|Drama|Fantasy|Mystery
161,Comedy|Romance
164,Drama|Romance
165,Comedy
166,Drama|Music|Musical
167,Drama|Music
168,Action|Comedy|Crime
170,Drama
171,Comedy|Musical|Romance
173,Action|Drama|War
175,Crime|Drama|Thriller
177,Action|Thriller
178,Comedy|Crime|Romance
181,Comedy|Romance
182,Music
186,Crime|Drama|Film-Noir|Thriller
187,Comedy|Crime|Drama|Thriller
188,Documentary|Short
189,Comedy|Sci-Fi
190,Drama|Romance
191,Action|Sci-Fi|Thriller
193,Documentary
195,Drama
196,Documentary|Music
197,Crime|Mystery|Thriller
198,Action|Crime|Mystery|Romance|Thriller
199,Drama|War
